Date,Type,Category,Account,Description,Amount
2025-12-09,Expense,Other,Ricici,adj,1114.0
2025-12-09,Income,Other,HDFC,utaru,46045.0
2025-12-09,Income,Other,HDFC,utaru,37000.0
2025-12-09,Income,Other,HDFC,utaru,25694.0
2025-12-09,Income,Other,HDFC,utaru,41111.0
2025-12-09,Expense,Other,HDFC,milk,200.0
2025-12-09,Income,Other,HDFC,utaru,13950.0
2025-12-09,Expense,Other,HDFC,ammaji,4720.0
2025-12-08,Expense,Other,Abank,ccbill,4966.0
2025-12-08,Expense,Other,Union,ccbill,2962.0
2025-12-07,Income,Other,ICICIcc,bill,2475.0
2025-12-06,Expense,Other,Union,ccbill,3072.0
2025-12-06,Income,Other,SBIcc,bill,7022.0
2025-12-06,Income,Other,HDFC,cb,27.0
2025-12-06,Expense,Other,SBIcc,kirana,260.0
2025-12-06,Expense,Other,SBIcc,medicines,125.0
2025-12-06,Expense,Other,SBIcc,snacks,200.0
2025-12-06,Expense,Other,Abank,ccbill,4856.0
2025-12-06,Income,Other,Navi,bill,16711.0
2025-12-05,Expense,Other,cash,transfer,1500.0
2025-12-05,Expense,Other,HDFC,kirana,950.0
2025-12-05,Expense,Other,HDFC,food,80.0
2025-12-05,Expense,Other,HDFC,pipe,940.0
2025-12-05,Income,Other,Axisneo,bill,1495.0
2025-12-04,Expense,Other,Abank,ccbill,4749.0
2025-12-04,Expense,Other,SBIcc,bread,600.0
2025-12-04,Expense,Other,SBIcc,disposals,1000.0
2025-12-04,Expense,Other,HDFC,milk,70.0
2025-12-04,Expense,Other,HDFC,kova,600.0
2025-12-04,Expense,Other,HDFC,crackers,4200.0
2025-12-04,Expense,Other,union,ccbill,3179.0
2025-12-03,Expense,nagesh,SBIcc,sundrirect,300.0
2025-12-03,Expense,Other,SBIcc,drink,100.0
2025-12-03,Expense,Other,nCChdfc,petrol,1000.0
2025-12-03,Expense,Other,HDFC,milk,210.0
2025-12-02,Income,Other,union,int,163.0
2025-12-02,Expense,Other,HDFC,tiffin,450.0
2025-12-02,Expense,Other,cash,banta,300.0
2025-12-02,Expense,Other,Abank,ccbill,4645.0
2025-12-02,Expense,Other,HDFC,milk,70.0
2025-12-02,Expense,Other,union,ccbill,3283.0
2025-12-02,Expense,Other,HDFC,bricks,10000.0
2025-12-02,Expense,srinu,cash,gonu sanchi,600.0
